hotel_id,city,province,name,address,postalcode
832,Isle of Palms,SC,Seaside Inn,1004 Ocean Blvd,29451
833,Ithaca,NY,"Country Inn & Suites By Carlson, Ithaca, NY",1100 Danby Rd,14850
834,Ithaca,NY,Hilton Garden Inn Ithaca,130 E Seneca St,14850
835,Jackson,TN,Comfort Suites,61 Casey Jones Ln,38305
836,Jackson,OH,Days Inn Jackson,972 E Main St,45640
837,Jackson,MO,"Drury Inn Suites Jackson, MO",225 Drury Ln,63755
838,Jackson,TN,Hampton Inn & Suites Jackson,150 Campbell Oaks Dr,38305
839,Jackson,TN,Scottish Inn,2295 N Highland Ave,38305-4922
840,Jacksonville,FL,Aloft Jacksonville Tapestry Park,4812 Deer Lake Dr W,32246
841,Jacksonville,FL,Econo Lodge,1181 Airport Rd,32218
842,Jacksonville,NC,Economy Inn,601 N Marine Blvd,28540
843,Jacksonville,FL,Four Points by Sheraton Jacksonville Baymeadows,8520 Baymeadows Rd,32256
844,Jacksonville,FL,Hilton Garden Inn Jacksonville Downtown Southbank,1201 Kings Ave,32207
845,Jacksonville,FL,Residence Inn Jacksonville Butler Boulevard,10551 Deerwood Park Blvd,32256
846,Jamaica,NY,Days Inn-jfk Airport,14426 153rd Ct,11434
847,Jamaica,NY,Lexington Inn At Jfk Airport,13805 Jamaica Ave,11435
848,Jane Lew,WV,Plantation Inn & Suites,1322 Hackers Creek Rd,26378
849,Janesville,WI,Hampton Inn-janesville,2400 Fulton St,53546
850,Jefferson City,MO,Quality Inn & Suites Jefferson City,1716 Jefferson St,65109
851,Johnson City,TN,Comfort Suites,3118 Browns Mill Rd,37604
852,Johnson City,TN,Econo Lodge Inn Suites,207 E Mountcastle Dr,37601
853,Joliet,IL,Wingate by Wyndham - Joliet,101 McDonald Ave,60431
854,Jonesboro,AR,Hilton Garden Inn Jonesboro,2840 S Caraway Rd,72401
855,Jonesboro,AR,Park Place Inn,1421 S Caraway Rd,72401
856,Jonesville,NC,Americas Best Value Inn Jonesville,5702 Us Highway 21,28642
857,Juneau,AK,Best Western Grandma's Feather Bed,2358 Mendenhall Loop Rd,99801
858,Jupiter,FL,Best Western Intracoastal Inn,810 S US Highway 1,33477
859,Kaktovik,AK,Waldo Arms Hotel,6011 Lake Rd,99747
860,Kalamazoo,MI,Comfort Inn,739 W Michigan Ave,49007
861,Kalispell,MT,Kalispell Grand Hotel,100 Main St,59901
862,Kankakee,IL,Hilton Garden Inn Kankakee,455 Riverstone Pkwy,60901
863,Kansas City,MO,Comfort Suites Kansas City-Liberty,8200 N Church Rd,64158
864,Kansas City,MO,Hampton Inn Suites Kansas City-Country Club Plaza,4600 Summit St,64112
865,Kansas City,MO,Hotel Phillips,106 W 12th St,64105
866,Kansas City,MO,Sheraton Kansas City Hotel at Crown Center,2345 McGee St,64108
867,Katy,TX,Best Western Premier Energy Corridor,1549 Westborough Dr,77449
868,Kearney,NE,Best Western Plus Mid Nebraska Inn & Suites,224 2nd Ave S,68847
869,Kelleys Island,OH,Kelleys Island Venture Resort,441 W Lakeshore Dr,43438
870,Kenai,AK,Alicia's Eagle Rock Lodge,5679 Kenai Spur Hwy,99611
871,Kenedy,TX,Fieldhouse Inn,301 Young St,78119
872,Kennesaw,GA,Best Western Kennesaw Inn,3375 Busbee Dr NW,30144
873,Kenyon,MN,Schweich's Hotel Bar & Restaurant,632 2nd St,55946
874,Key Biscayne,FL,Silver Sands Beach Resort,301 Ocean Dr,33149
875,Key West,FL,Fairfield Inn & Suites by Marriott Key West at The Keys Collection,3852 N Roosevelt Blvd,33040-4535
876,Key West,FL,"The Saint Hotel Key West, Autograph Collection",417 Eaton St,33040-6511
877,Killdeer,ND,Mountain View Hotel,15 Mountain View St,58640
878,Killington,VT,North Star Lodge,78 Weathervane Dr,5751
879,Killington,VT,The Mountain Inn,47 Old Mill Rd,5751
880,Kimberling City,MO,Kimberling Oaks Resort,31 Holiday Dr,65686
881,Kimberling City,MO,Schooner Creek Resort,27 Schooner Creek Rd,65686
882,King of Prussia,PA,Best Western Plus The Inn at King of Prussia,127 S Gulph Rd,19406
883,King of Prussia,PA,Radisson Hotel Valley Forge,1160 First Ave,19406
884,Kingman,AZ,Ramada-kingman,3100 E Andy Devine Ave,86401
885,Kings Beach,CA,Ferrari's Crown Resort,8200 N Lake Blvd,96143
886,Kings Mountain,NC,Quality Inn,722 York Rd,28086
887,Kingsland,GA,Comfort Suites Kings Bay Naval Base Area,1322 Hospitality Ave,31548
888,Kingsland,GA,Hampton Inn Kingsland,102 Reddick Rd,31548
889,Kingsport,TN,Comfort Inn South,4624 Fairlane Dr,37663
890,Kiowa,KS,Kiowa Motel,802 S 4th St,67070
891,Kissimmee,FL,Baymont Inn & Suites Celebration,7601 Black Lake Rd,34747
892,Kissimmee,FL,Baymont Inn & Suites Kissimmee,4156 W Vine St,34741
